mmrrc_id,availability,sds_status,public_display
55813,ES cell line,QC,Yes
19687,ES cell line,Complete,Yes
6061,ES cell line,Complete,Yes
29231,Cryo-archive,Complete,Yes
18995,ES cell line,Complete,Yes
54701,ES cell line,QC,Yes
49830,Cryo-archive,QC,Yes
66220,Hybridoma cell line,Complete,Yes
30440,Cryo-archive,Complete,Yes
57984,ES cell line,QC,Yes
48688,Cryo-archive,Complete,Yes
37385,Cryo-archive,QC,Yes
3633,ES cell line,Complete,Yes
51153,Cryo-archive,Complete,Yes
2921,ES cell line,Complete,Yes
56696,ES cell line,QC,Yes
23796,ES cell line,Complete,Yes
24053,ES cell line,Complete,Yes
59563,ES cell line,QC,Yes
42285,Currently Unavailable,In Progress,No
22884,ES cell line,Complete,Yes
13320,ES cell line,Complete,Yes
45540,Currently Unavailable,In Progress,No
38070,Hidden,In Progress,No
47087,Cryo-archive,QC,Yes
16122,ES cell line,Complete,Yes
40742,Cryo-archive,Complete,Yes
26594,ES cell line,Complete,Yes
41850,Hidden,Complete,Yes
21251,ES cell line,Complete,Yes
59099,ES cell line,QC,Yes
54351,ES cell line,QC,Yes
29661,ES cell line,Complete,Yes
34950,ES cell line,Complete,Yes
53494,ES cell line,QC,Yes
63022,ES cell line,QC,Yes
35642,ES cell line,Complete,Yes
48372,Cryo-archive,QC,Yes
28973,ES cell line,Complete,Yes
32187,Cryo-archive,Complete,Yes
6431,ES cell line,Complete,Yes
30913,Cryo-archive,N/A,No
50312,Cryo-archive,QC,Yes
2472,ES cell line,Complete,Yes
67061,Breeder pairs,Complete,Yes
62799,ES cell line,QC,Yes
12161,ES cell line,Complete,Yes
44701,Currently Unavailable,In Progress,No
39231,Cryo-archive,Complete,Yes
17699,ES cell line,Complete,Yes
59830,ES cell line,QC,Yes
68394,Cryo-archive,Complete,Yes
25212,ES cell line,Complete,Yes
58722,ES cell line,QC,Yes
45813,Currently Unavailable,In Progress,No
20010,ES cell line,Complete,Yes
17363,ES cell line,Complete,Yes
41503,Cryo-archive,Complete,Yes
8585,ES cell line,Complete,Yes
18096,ES cell line,Complete,Yes
2188,ES cell line,Complete,Yes
7670,ES cell line,Complete,Yes
62263,ES cell line,QC,Yes
34403,Hidden,In Progress,No
49133,Cryo-archive,QC,Yes
55110,ES cell line,QC,Yes
28420,ES cell line,Complete,Yes
6962,ES cell line,Complete,Yes
36594,ES cell line,Complete,Yes
